group,name,latency,bandwidth,upload_size,download_size,defer_decryption,proxy,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,6001,1451,7904,29872510,3298243,715467,21215,30769232,3928096,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3570,1399,5405,29872216,3297809,715467,21215,30768924,3927662,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3565,1351,5405,29872216,3297795,715467,21201,30768924,3927634,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3604,1368,5416,29872216,3297781,715467,21201,30768924,3927620,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3614,1363,5410,29872216,3297781,715467,21201,30768924,3927620,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3610,1505,5550,29872230,3297809,715453,21201,30768924,3927648,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3517,1357,5318,29872174,3297697,715467,21215,30768882,3927550,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3542,1380,5416,29872174,3297697,715467,21215,30768882,3927550,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3528,1390,5368,29872230,3297795,715467,21215,30768938,3927648,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3504,1366,5308,29872174,3297683,715467,21229,30768882,3927550,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,3571,1361,5369,29872216,3297725,715467,21201,30768924,3927564,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2119,1468,4037,29872118,3297515,715467,21229,30768826,3927382,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2176,1421,4042,29872104,3297501,715467,21215,30768812,3927354,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2118,1371,3938,29872146,3297543,715467,21201,30768854,3927382,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2161,1361,3971,29872118,3297515,715467,21229,30768826,3927382,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2186,1422,4046,29872104,3297473,715467,21229,30768812,3927340,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2122,1353,3918,29872146,3297529,715467,21215,30768854,3927382,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2187,1438,4068,29872090,3297487,715467,21215,30768798,3927340,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2144,1366,3948,29872104,3297501,715467,21215,30768812,3927354,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2121,1374,3937,29872132,3297529,715467,21215,30768840,3927382,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,2066,1481,4038,29872132,3297529,715467,21215,30768840,3927382,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1599,1354,3395,29872034,3297347,715467,21201,30768742,3927186,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1752,1417,3608,29872062,3297361,715467,21201,30768770,3927200,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1685,1378,3557,29872048,3297361,715467,21201,30768756,3927200,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1798,1376,3612,29872062,3297361,715467,21201,30768770,3927200,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1689,1368,3559,29872062,3297361,715467,21215,30768770,3927214,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1760,1383,3582,29872062,3297361,715467,21201,30768770,3927200,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1689,1360,3544,29872062,3297361,715467,21215,30768770,3927214,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1712,1360,3515,29872048,3297347,715467,21201,30768756,3927186,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1702,1343,3542,29872048,3297347,715467,21215,30768756,3927200,
bandwidth_sweep_mpc,,25,500,1024,2048,true,false,1752,1454,3651,29872048,3297347,715467,21215,30768756,3927200,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1551,1489,3478,29872048,3297333,715453,21215,30768742,3927186,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1683,1355,3481,29872048,3297333,715467,21215,30768756,3927186,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1614,1517,3576,29872048,3297333,715467,21215,30768770,3927186,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1583,1425,3446,29872048,3297347,715467,21215,30768756,3927200,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1562,1426,3430,29872048,3297333,715467,21201,30768770,3927172,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1498,1363,3293,29872048,3297347,715467,21215,30768756,3927200,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1617,1429,3538,29872048,3297333,715453,21215,30768742,3927186,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1503,1372,3364,29872048,3297333,715467,21215,30768756,3927186,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1480,1396,3335,29872048,3297347,715453,21215,30768742,3927200,
bandwidth_sweep_mpc,,25,1000,1024,2048,true,false,1573,1429,3451,29872048,3297333,715467,21215,30768756,3927186,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2860,507,5207,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2849,504,5204,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2847,509,5197,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2859,503,5200,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2865,506,5235,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2855,503,5195,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2857,506,5203,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2857,506,5198,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2865,515,5223,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,5,1024,2048,true,true,2863,503,5228,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1667,503,3383,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1657,502,3384,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1674,502,3401,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1666,502,3390,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1661,506,3381,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1667,506,3378,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1670,501,3369,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1661,505,3385,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1661,509,3392,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,10,1024,2048,true,true,1664,508,3383,451450,1029312,75059,3955,708072,1705975,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1040,502,2461,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1043,502,2458,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1033,501,2452,451450,1029298,75059,3955,708072,1705961,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1029,502,2448,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1038,506,2454,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1039,534,2505,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1039,501,2475,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1037,510,2469,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1042,510,2469,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,20,1024,2048,true,true,1042,512,2476,451422,1029284,75059,3955,708002,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,740,509,1986,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,740,508,1996,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,742,511,2003,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,747,501,1984,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,794,501,2023,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,749,507,2007,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,749,506,1981,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,753,509,1994,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,752,506,1990,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,50,1024,2048,true,true,752,508,1992,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,710,501,1909,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,708,507,1902,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,708,507,1901,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,706,503,1896,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,714,506,1903,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,707,508,1901,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,709,534,1932,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,687,505,1870,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,756,508,1953,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,100,1024,2048,true,true,701,505,1887,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,713,508,1944,451394,1029284,75059,3955,707974,1705933,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,717,502,1893,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,761,502,1937,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,709,536,1914,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,712,506,1890,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,708,520,1909,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,710,506,1906,451408,1029284,75059,3955,707988,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,707,505,1881,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,705,504,1871,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,250,1024,2048,true,true,709,506,1884,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,706,506,1942,451394,1029284,75059,3955,707974,1705933,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,714,503,1895,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,720,508,1894,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,707,507,1873,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,707,508,1892,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,718,502,1878,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,709,502,1893,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,712,537,1933,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,706,508,1883,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,500,1024,2048,true,true,708,505,1888,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,706,506,1885,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,711,508,1890,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,769,510,1964,451408,1029284,75059,3955,707988,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,708,505,1886,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,710,504,1902,451408,1029284,75059,3955,707988,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,710,504,1895,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,710,542,1916,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,704,500,1867,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,701,504,1869,451408,1029284,75059,3955,707974,1705919,
bandwidth_sweep_proxy,,25,1000,1024,2048,true,true,703,503,1886,451408,1029284,75059,3955,707988,1705919,
download_sweep_mpc,,25,100,1024,1024,true,false,3458,1429,5360,29872174,3297697,714443,21215,30711502,3927550,
download_sweep_mpc,,25,100,1024,1024,true,false,3585,1382,5387,29872230,3297739,714443,21215,30711558,3927592,
download_sweep_mpc,,25,100,1024,1024,true,false,3581,1409,5413,29872230,3297809,714443,21215,30711558,3927662,
download_sweep_mpc,,25,100,1024,1024,true,false,3597,1341,5350,29872258,3297865,714429,21215,30711572,3927718,
download_sweep_mpc,,25,100,1024,1024,true,false,3497,1368,5282,29872230,3297795,714443,21201,30711558,3927634,
download_sweep_mpc,,25,100,1024,1024,true,false,3589,1368,5379,29872216,3297711,714443,21201,30711544,3927550,
download_sweep_mpc,,25,100,1024,1024,true,false,3590,1423,5435,29872230,3297753,714443,21201,30711558,3927592,
download_sweep_mpc,,25,100,1024,1024,true,false,3482,1360,5266,29872230,3297795,714443,21201,30711558,3927634,
download_sweep_mpc,,25,100,1024,1024,true,false,3542,1402,5419,29872230,3297809,714443,21201,30711558,3927648,
download_sweep_mpc,,25,100,1024,1024,true,false,3454,1336,5213,29872216,3297795,714457,21201,30711558,3927634,
download_sweep_mpc,,25,100,1024,2048,true,false,3496,1373,5319,29872216,3297781,715467,21201,30768924,3927620,
download_sweep_mpc,,25,100,1024,2048,true,false,3690,1406,5587,29872230,3297753,715453,21201,30768924,3927592,
download_sweep_mpc,,25,100,1024,2048,true,false,3573,1406,5428,29872244,3297837,715453,21201,30768952,3927676,
download_sweep_mpc,,25,100,1024,2048,true,false,3547,1409,5462,29872202,3297753,715467,21215,30768910,3927606,
download_sweep_mpc,,25,100,1024,2048,true,false,3670,1540,5648,29872202,3297753,715467,21215,30768910,3927606,
download_sweep_mpc,,25,100,1024,2048,true,false,3441,1442,5327,29872188,3297711,715467,21215,30768896,3927564,
download_sweep_mpc,,25,100,1024,2048,true,false,3557,1359,5405,29872244,3297809,715559,21201,30769044,3927648,
download_sweep_mpc,,25,100,1024,2048,true,false,3488,1358,5290,29872230,3297781,715467,21201,30768938,3927620,
download_sweep_mpc,,25,100,1024,2048,true,false,3574,1410,5425,29872216,3297781,715467,21215,30768924,3927634,
download_sweep_mpc,,25,100,1024,2048,true,false,3587,1349,5433,29872272,3297781,715467,21215,30768980,3927634,
download_sweep_mpc,,25,100,1024,5120,true,false,3593,1370,6265,29872272,3297879,718539,21215,30941634,4055830,
download_sweep_mpc,,25,100,1024,5120,true,false,3632,1459,6341,29872216,3297795,718539,21215,30941578,4055746,
download_sweep_mpc,,25,100,1024,5120,true,false,3601,1411,6233,29872230,3297767,718539,21215,30941592,4055718,
download_sweep_mpc,,25,100,1024,5120,true,false,3603,1338,6134,29872188,3297711,718539,21215,30941550,4055662,
download_sweep_mpc,,25,100,1024,5120,true,false,3589,1409,6250,29872230,3297781,718539,21201,30941592,4055718,
download_sweep_mpc,,25,100,1024,5120,true,false,3612,1410,6212,29872216,3297781,718525,21201,30941564,4055718,
download_sweep_mpc,,25,100,1024,5120,true,false,3571,1366,6123,29872258,3297739,718539,21215,30941620,4055690,
download_sweep_mpc,,25,100,1024,5120,true,false,3584,1346,6125,29872314,3297781,718539,21201,30941676,4055718,
download_sweep_mpc,,25,100,1024,5120,true,false,3487,1412,6082,29872244,3297795,718525,21201,30941592,4055732,
download_sweep_mpc,,25,100,1024,5120,true,false,3635,1404,6281,29872216,3297739,718539,21215,30941578,4055690,
download_sweep_mpc,,25,100,1024,10240,true,false,3574,1359,7147,29872216,3297781,723920,21219,31228989,4119792,
download_sweep_mpc,,25,100,1024,10240,true,false,3529,1380,7019,29872244,3297795,723920,21205,31229017,4119792,
download_sweep_mpc,,25,100,1024,10240,true,false,3604,1342,7136,29872216,3297781,723934,21205,31229003,4119778,
download_sweep_mpc,,25,100,1024,10240,true,false,3567,1414,7184,29872216,3297795,723920,21205,31228989,4119792,
download_sweep_mpc,,25,100,1024,10240,true,false,3574,1385,7092,29872160,3297557,723920,21219,31228933,4119568,
download_sweep_mpc,,25,100,1024,10240,true,false,3536,1373,7038,29872118,3297613,723920,21219,31228891,4119624,
download_sweep_mpc,,25,100,1024,10240,true,false,3595,1421,7188,29872216,3297753,723906,21219,31228975,4119764,
download_sweep_mpc,,25,100,1024,10240,true,false,3614,1469,7242,29872202,3297753,723906,21219,31228961,4119764,
download_sweep_mpc,,25,100,1024,10240,true,false,3563,1398,7087,29872146,3297739,723920,21233,31228919,4119764,
download_sweep_mpc,,25,100,1024,10240,true,false,3520,1373,7026,29872174,3297697,723920,21219,31228947,4119708,
download_sweep_mpc,,25,100,1024,20480,true,false,3746,1354,7781,29872174,3297641,735005,21219,31805794,4664310,
download_sweep_mpc,,25,100,1024,20480,true,false,3606,1492,7806,29872216,3297781,734991,21205,31805822,4664436,
download_sweep_mpc,,25,100,1024,20480,true,false,3575,1410,7583,29872188,3297739,735005,21219,31805808,4664394,
download_sweep_mpc,,25,100,1024,20480,true,false,3514,1438,7542,29872328,3297781,734991,21205,31805934,4664436,
download_sweep_mpc,,25,100,1024,20480,true,false,3540,1367,7508,29872216,3297767,735005,21205,31805836,4664408,
download_sweep_mpc,,25,100,1024,20480,true,false,3601,1418,7690,29872244,3297767,735005,21205,31805864,4664422,
download_sweep_mpc,,25,100,1024,20480,true,false,3531,1457,7567,29872230,3297795,735005,21205,31805850,4664436,
download_sweep_mpc,,25,100,1024,20480,true,false,3543,1396,7582,29872272,3297781,735005,21205,31805892,4664436,
download_sweep_mpc,,25,100,1024,20480,true,false,3538,1387,7577,29872286,3297795,735005,21205,31805906,4664450,
download_sweep_mpc,,25,100,1024,20480,true,false,3628,1444,7644,29872202,3297753,735005,21219,31805822,4664422,
download_sweep_mpc,,25,100,1024,30720,true,false,3558,1370,9285,29872216,3297753,745291,21219,32380696,4920632,
download_sweep_mpc,,25,100,1024,30720,true,false,3529,1423,9364,29872230,3297837,745277,21219,32380696,4920716,
download_sweep_mpc,,25,100,1024,30720,true,false,3587,1376,9395,29872202,3297725,745291,21219,32380682,4920604,
download_sweep_mpc,,25,100,1024,30720,true,false,3578,1380,9421,29872202,3297739,745291,21219,32380682,4920618,
download_sweep_mpc,,25,100,1024,30720,true,false,3566,1513,9519,29872202,3297753,745277,21219,32380668,4920632,
download_sweep_mpc,,25,100,1024,30720,true,false,3625,1361,9464,29872272,3297879,745291,21219,32380752,4920758,
download_sweep_mpc,,25,100,1024,30720,true,false,3525,1369,9323,29872202,3297655,745291,21219,32380682,4920534,
download_sweep_mpc,,25,100,1024,30720,true,false,3565,1380,9407,29872216,3297781,745291,21205,32380696,4920646,
download_sweep_mpc,,25,100,1024,30720,true,false,3446,1382,9205,29872216,3297795,745291,21205,32380696,4920660,
download_sweep_mpc,,25,100,1024,30720,true,false,3678,1408,9516,29872146,3297781,745277,21219,32380612,4920660,
download_sweep_mpc,,25,100,1024,40960,true,false,3486,1328,11530,29872160,3297543,756422,21219,32955643,4984618,
download_sweep_mpc,,25,100,1024,40960,true,false,3479,1521,11418,29872188,3297697,756422,21219,32955671,4984772,
download_sweep_mpc,,25,100,1024,40960,true,false,3508,1372,11410,29872174,3297683,756422,21233,32955657,4984786,
download_sweep_mpc,,25,100,1024,40960,true,false,3537,1406,11306,29872272,3297753,756422,21219,32955755,4984828,
download_sweep_mpc,,25,100,1024,40960,true,false,3478,1429,11399,29872202,3297697,756422,21205,32955685,4984758,
download_sweep_mpc,,25,100,1024,40960,true,false,3596,1491,11435,29872300,3297907,756422,21219,32955783,4984982,
download_sweep_mpc,,25,100,1024,40960,true,false,3447,1505,11264,29872216,3297767,756422,21219,32955699,4984842,
download_sweep_mpc,,25,100,1024,40960,true,false,3430,1431,11258,29872146,3297683,756422,21233,32955629,4984772,
download_sweep_mpc,,25,100,1024,40960,true,false,3401,1460,11378,29872188,3297711,756422,21219,32955671,4984786,
download_sweep_mpc,,25,100,1024,40960,true,false,3529,1386,11329,29872216,3297795,756422,21205,32955699,4984856,
