group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,464,167,638,29872506,3298229,718475,21201,30598505,3319914,
,,1,1000,1024,4096,true,459,154,619,29872506,3298159,718475,21215,30598505,3319396,
,,1,1000,1024,4096,true,460,152,622,29872436,3298089,718475,21215,30598435,3319648,
bandwidth_sweep,,25,5,1024,2048,true,52231,1827,55666,29872366,3298019,716216,21243,30773996,3991970,
bandwidth_sweep,,25,5,1024,2048,true,52216,1803,55608,29872366,3298033,716469,21243,30773996,3991984,
bandwidth_sweep,,25,5,1024,2048,true,52224,1805,55646,29872352,3298005,716455,21243,30773954,3991942,
bandwidth_sweep,,25,5,1024,2048,true,52223,1807,55641,29872352,3298005,716455,21243,30773954,3991942,
bandwidth_sweep,,25,5,1024,2048,true,52233,1803,55631,29872366,3298033,716455,21229,30773968,3991956,
bandwidth_sweep,,25,5,1024,2048,true,52229,1806,55626,29872352,3298005,716455,21243,30773954,3991942,
bandwidth_sweep,,25,5,1024,2048,true,52237,1805,55633,29872352,3298005,716455,21243,30773954,3991942,
bandwidth_sweep,,25,5,1024,2048,true,52219,1811,55632,29872366,3298019,716469,21257,30773996,3991984,
bandwidth_sweep,,25,5,1024,2048,true,52235,1806,55630,29872352,3298019,716455,21229,30773954,3991942,
bandwidth_sweep,,25,5,1024,2048,true,52197,1803,55591,29872366,3298019,716469,21257,30773996,3991984,
bandwidth_sweep,,25,10,1024,2048,true,26278,1371,28566,29872674,3298649,716427,21201,30774248,3992544,
bandwidth_sweep,,25,10,1024,2048,true,26274,1362,28561,29872716,3298649,716427,21201,30774290,3992544,
bandwidth_sweep,,25,10,1024,2048,true,26284,1361,28567,29872688,3298649,716427,21201,30774262,3992544,
bandwidth_sweep,,25,10,1024,2048,true,26235,1361,28522,29872688,3298635,716427,21201,30774262,3992530,
bandwidth_sweep,,25,10,1024,2048,true,26237,1368,28527,29872716,3298663,716427,21201,30774290,3992558,
bandwidth_sweep,,25,10,1024,2048,true,26278,1364,28557,29872702,3298649,716427,21201,30774276,3992544,
bandwidth_sweep,,25,10,1024,2048,true,26237,1359,28516,29872688,3298635,716427,21201,30774262,3992530,
bandwidth_sweep,,25,10,1024,2048,true,26236,1367,28531,29872688,3298635,716427,21201,30774262,3992530,
bandwidth_sweep,,25,10,1024,2048,true,26281,1364,28562,29872674,3298649,716427,21201,30774248,3992544,
bandwidth_sweep,,25,10,1024,2048,true,26282,1364,28569,29872702,3298649,716427,21201,30774276,3992544,
bandwidth_sweep,,25,20,1024,2048,true,13328,1156,15125,29872996,3299363,716174,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13318,1147,15071,29872996,3299363,716427,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13271,1157,15049,29873010,3299363,716427,21215,30774584,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13356,1157,15119,29872996,3299363,716427,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13443,1147,15201,29872926,3299363,716427,21215,30774500,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13353,1166,15117,29872996,3299363,716427,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13272,1149,15030,29873010,3299363,716427,21215,30774584,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13356,1166,15139,29872996,3299363,716427,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13367,1154,15130,29872996,3299363,716427,21215,30774570,3993272,
bandwidth_sweep,,25,20,1024,2048,true,13486,1156,15255,29872926,3299363,716427,21215,30774500,3993272,
bandwidth_sweep,,25,50,1024,2048,true,5505,1024,6967,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5547,1035,7008,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5499,1023,6963,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5551,1036,7027,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5531,1032,6991,29872702,3298803,716427,21215,30774276,3992712,
bandwidth_sweep,,25,50,1024,2048,true,5546,1032,7020,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5510,1021,6968,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,50,1024,2048,true,5543,1040,7012,29872730,3298831,716427,21229,30774304,3992754,
bandwidth_sweep,,25,50,1024,2048,true,5566,1026,7027,29872716,3298817,716427,21215,30774290,3992726,
bandwidth_sweep,,25,50,1024,2048,true,5503,1025,6967,29872730,3298831,716427,21215,30774304,3992740,
bandwidth_sweep,,25,100,1024,2048,true,3008,1038,4453,29872422,3298159,716427,21215,30773996,3992068,
bandwidth_sweep,,25,100,1024,2048,true,3012,1020,4435,29872450,3298089,716427,21215,30774024,3991998,
bandwidth_sweep,,25,100,1024,2048,true,3008,1019,4427,29872408,3298145,716427,21215,30773968,3992054,
bandwidth_sweep,,25,100,1024,2048,true,3002,1017,4414,29872436,3298089,716427,21229,30774010,3992012,
bandwidth_sweep,,25,100,1024,2048,true,3015,1022,4437,29872450,3298089,716427,21215,30774010,3991998,
bandwidth_sweep,,25,100,1024,2048,true,3014,1020,4430,29872450,3298089,716427,21215,30774010,3991998,
bandwidth_sweep,,25,100,1024,2048,true,2998,1018,4412,29872450,3298103,716427,21215,30774024,3992012,
bandwidth_sweep,,25,100,1024,2048,true,3029,1017,4440,29872506,3298229,716427,21215,30774080,3992138,
bandwidth_sweep,,25,100,1024,2048,true,2996,1020,4409,29872450,3298089,716427,21215,30774024,3991998,
bandwidth_sweep,,25,100,1024,2048,true,3037,1003,4435,29872422,3298089,716427,21215,30773996,3991998,
bandwidth_sweep,,25,250,1024,2048,true,1566,1018,2981,29872072,3297585,716427,21215,30773646,3991480,
bandwidth_sweep,,25,250,1024,2048,true,1594,1025,3036,29872058,3297641,716427,21215,30773632,3991536,
bandwidth_sweep,,25,250,1024,2048,true,1603,1018,3017,29872058,3297627,716427,21215,30773632,3991522,
bandwidth_sweep,,25,250,1024,2048,true,1554,1022,2971,29872072,3297627,716427,21201,30773646,3991522,
bandwidth_sweep,,25,250,1024,2048,true,1578,1021,2993,29872044,3297585,716427,21215,30773618,3991480,
