group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,974,417,1407,33561916,3425053,1018338,21113,34598071,3446166,
,,1,1000,1024,4096,true,921,381,1322,33561928,3425161,1018350,21101,34598095,3446262,
,,1,1000,1024,4096,true,919,386,1327,33561904,3425089,1018350,21101,34598071,3446190,
download_sweep,,25,100,1024,1024,true,3481,1161,4648,33561676,3361089,846750,21113,34417021,3382202,
download_sweep,,25,100,1024,1024,true,3461,1151,4618,33561676,3361089,846750,21113,34417021,3382202,
download_sweep,,25,100,1024,1024,true,3489,1149,4645,33561616,3361017,846750,21113,34416961,3382130,
download_sweep,,25,100,1024,1024,true,3497,1150,4653,33561604,3361017,846750,21113,34416949,3382130,
download_sweep,,25,100,1024,1024,true,3481,1155,4645,33561676,3361089,846750,21113,34417021,3382202,
download_sweep,,25,100,1024,1024,true,3445,1154,4605,33561664,3361089,846750,21113,34417009,3382202,
download_sweep,,25,100,1024,1024,true,3458,1149,4613,33561652,3361089,846750,21113,34416997,3382202,
download_sweep,,25,100,1024,1024,true,3484,1154,4644,33561664,3361089,846750,21113,34417009,3382202,
download_sweep,,25,100,1024,1024,true,3467,1151,4624,33561640,3361089,846750,21101,34416985,3382190,
download_sweep,,25,100,1024,1024,true,3462,1150,4618,33561652,3361089,846750,21101,34416997,3382190,
download_sweep,,25,100,1024,2048,true,3785,1158,4952,33561904,3425137,903938,21101,34477509,3446238,
download_sweep,,25,100,1024,2048,true,3767,1188,4966,33561928,3425137,903950,21113,34477545,3446250,
download_sweep,,25,100,1024,2048,true,3755,1181,4945,33561892,3425137,903950,21113,34477509,3446250,
download_sweep,,25,100,1024,2048,true,3745,1178,4933,33561904,3425137,903950,21113,34477521,3446250,
download_sweep,,25,100,1024,2048,true,3753,1180,4945,33561916,3425125,903950,21113,34477533,3446238,
download_sweep,,25,100,1024,2048,true,3755,1186,4952,33561904,3425137,903950,21113,34477521,3446250,
download_sweep,,25,100,1024,2048,true,3709,1152,4872,33561916,3425125,903938,21113,34477521,3446238,
download_sweep,,25,100,1024,2048,true,3738,1178,4932,33561916,3425137,903950,21101,34477533,3446238,
download_sweep,,25,100,1024,2048,true,3728,1195,4931,33561904,3425137,903950,21113,34477521,3446250,
download_sweep,,25,100,1024,2048,true,3737,1147,4894,33561928,3425137,903938,21113,34477533,3446250,
download_sweep,,25,100,1024,5120,true,3760,1254,5029,33561916,3425137,1075538,21113,34658337,3446250,
download_sweep,,25,100,1024,5120,true,3747,1262,5021,33561928,3425137,1075550,21113,34658361,3446250,
download_sweep,,25,100,1024,5120,true,3764,1248,5024,33561916,3425137,1075538,21113,34658337,3446250,
download_sweep,,25,100,1024,5120,true,3784,1270,5066,33561928,3425137,1075550,21113,34658361,3446250,
download_sweep,,25,100,1024,5120,true,3769,1265,5047,33561880,3425065,1075550,21113,34658313,3446178,
download_sweep,,25,100,1024,5120,true,3778,1271,5062,33561916,3425137,1075550,21113,34658349,3446250,
download_sweep,,25,100,1024,5120,true,3752,1266,5030,33561928,3425137,1075550,21113,34658361,3446250,
download_sweep,,25,100,1024,5120,true,3753,1270,5035,33561904,3425137,1075550,21113,34658337,3446250,
download_sweep,,25,100,1024,5120,true,3771,1266,5049,33561892,3425137,1075550,21101,34658325,3446238,
download_sweep,,25,100,1024,5120,true,3754,1263,5037,33561916,3425137,1075550,21113,34658349,3446250,
