group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,3573,1794,5376,33561844,3424681,1018338,21113,34597999,3445794,
,,1,1000,1024,4096,true,3409,1600,5015,33561844,3424729,1018338,21113,34597999,3445842,
,,1,1000,1024,4096,true,3430,1637,5072,33561844,3424729,1018359,21113,34598020,3445842,
download_sweep,,25,100,1024,1024,true,4735,1913,6663,33561712,3360873,846750,21101,34417057,3381974,
download_sweep,,25,100,1024,1024,true,4714,2083,6816,33561676,3360861,846750,21113,34417021,3381974,
download_sweep,,25,100,1024,1024,true,4806,1980,6805,33561676,3360825,846750,21113,34417021,3381938,
download_sweep,,25,100,1024,1024,true,4778,1886,6682,33561712,3360969,846750,21113,34417057,3382082,
download_sweep,,25,100,1024,1024,true,4807,1863,6689,33561676,3360837,846750,21113,34417021,3381950,
download_sweep,,25,100,1024,1024,true,4818,1859,6695,33561712,3360981,846750,21113,34417057,3382094,
download_sweep,,25,100,1024,1024,true,4774,1926,6715,33561712,3360993,846750,21113,34417057,3382106,
download_sweep,,25,100,1024,1024,true,4838,2130,6987,33561712,3361005,846750,21113,34417057,3382118,
download_sweep,,25,100,1024,1024,true,4784,1881,6683,33561628,3360813,846750,21113,34416973,3381926,
download_sweep,,25,100,1024,1024,true,4732,1826,6576,33561712,3360993,846750,21113,34417057,3382106,
download_sweep,,25,100,1024,2048,true,5865,1923,7807,33561940,3424885,903950,21113,34477557,3445998,
download_sweep,,25,100,1024,2048,true,5921,1873,7813,33561964,3425053,903950,21113,34477581,3446166,
download_sweep,,25,100,1024,2048,true,5799,2150,7968,33561964,3425017,903950,21113,34477581,3446130,
download_sweep,,25,100,1024,2048,true,5906,1948,7871,33561916,3424897,903950,21113,34477533,3446010,
download_sweep,,25,100,1024,2048,true,5902,1920,7841,33561964,3425041,903950,21113,34477581,3446154,
download_sweep,,25,100,1024,2048,true,5882,1889,7789,33561940,3424885,903950,21113,34477557,3445998,
download_sweep,,25,100,1024,2048,true,5950,2246,8215,33561964,3425041,903950,21113,34477581,3446154,
download_sweep,,25,100,1024,2048,true,6049,2094,8165,33561940,3424921,903950,21113,34477557,3446034,
download_sweep,,25,100,1024,2048,true,5960,1961,7939,33561928,3424861,903950,21113,34477545,3445974,
download_sweep,,25,100,1024,2048,true,5860,2110,7986,33561952,3424957,903950,21101,34477569,3446058,
download_sweep,,25,100,1024,5120,true,5958,2248,8223,33561940,3424909,1075550,21113,34658373,3446022,
download_sweep,,25,100,1024,5120,true,5900,2276,8196,33561964,3425041,1075550,21113,34658397,3446154,
download_sweep,,25,100,1024,5120,true,5975,2344,8339,33561928,3424885,1075550,21113,34658361,3445998,
download_sweep,,25,100,1024,5120,true,5823,2312,8155,33561964,3424933,1075550,21113,34658397,3446046,
download_sweep,,25,100,1024,5120,true,5813,2215,8048,33561964,3424945,1075550,21113,34658397,3446058,
download_sweep,,25,100,1024,5120,true,5971,2255,8244,33561964,3425017,1075550,21113,34658397,3446130,
download_sweep,,25,100,1024,5120,true,5891,2320,8230,33561940,3424849,1075550,21113,34658373,3445962,
download_sweep,,25,100,1024,5120,true,5865,2261,8146,33561940,3424885,1075550,21113,34658373,3445998,
download_sweep,,25,100,1024,5120,true,5913,2261,8193,33561964,3425017,1075550,21113,34658397,3446130,
download_sweep,,25,100,1024,5120,true,5865,2247,8132,33561940,3424885,1075550,21113,34658373,3445998,
download_sweep,,25,100,1024,10240,true,7273,2846,10146,33564614,4097589,1361835,21129,34962698,4118718,
download_sweep,,25,100,1024,10240,true,7086,2769,9877,33564614,4097613,1361832,21105,34962695,4118718,
download_sweep,,25,100,1024,10240,true,7136,2853,10010,33564614,4097589,1361832,21117,34962695,4118706,
download_sweep,,25,100,1024,10240,true,7193,2938,10154,33564614,4097601,1361835,21129,34962698,4118730,
download_sweep,,25,100,1024,10240,true,7148,2791,9962,33564590,4097457,1361811,21117,34962650,4118574,
download_sweep,,25,100,1024,10240,true,7081,2772,9876,33564614,4097601,1361811,21117,34962674,4118718,
download_sweep,,25,100,1024,10240,true,7222,2998,10242,33564614,4097613,1361835,21141,34962698,4118754,
download_sweep,,25,100,1024,10240,true,7142,2677,9841,33564614,4097613,1361811,21117,34962674,4118730,
download_sweep,,25,100,1024,10240,true,7207,2810,10039,33564614,4097613,1361811,21117,34962674,4118730,
download_sweep,,25,100,1024,10240,true,7125,2745,9893,33564614,4097589,1361811,21117,34962674,4118706,
download_sweep,,25,100,1024,20480,true,10745,3806,14578,33565078,4225529,1934809,21225,35566956,4246754,
download_sweep,,25,100,1024,20480,true,10483,4111,14621,33565126,4225685,1934809,21225,35567004,4246910,
download_sweep,,25,100,1024,20480,true,10521,3853,14402,33565114,4225601,1934809,21213,35566992,4246814,
download_sweep,,25,100,1024,20480,true,10561,3678,14267,33565126,4225553,1934809,21225,35567004,4246778,
,,1,1000,1024,4096,true,3456,1509,4974,33561844,3424729,1018359,21113,34598020,3445842,
,,1,1000,1024,4096,true,3436,1659,5100,33561844,3424729,1018338,21113,34597999,3445842,
,,1,1000,1024,4096,true,3379,1406,4792,33561844,3424729,1018350,21101,34598011,3445830,
download_sweep,,25,100,1024,20480,true,10819,3795,14640,33565138,4225709,1934809,21225,35567016,4246934,
download_sweep,,25,100,1024,20480,true,10414,3878,14329,33565054,4225517,1934809,21225,35566932,4246742,
download_sweep,,25,100,1024,20480,true,10527,3912,14476,33565054,4225481,1934809,21225,35566932,4246706,
download_sweep,,25,100,1024,20480,true,10503,3804,14334,33565126,4225697,1934809,21225,35567004,4246922,
download_sweep,,25,100,1024,20480,true,10516,4128,14671,33565066,4225493,1934809,21225,35566944,4246718,
download_sweep,,25,100,1024,20480,true,10653,3856,14537,33565126,4225709,1934809,21225,35567004,4246934,
download_sweep,,25,100,1024,20480,true,10435,3872,14334,33565126,4225661,1934809,21225,35567004,4246886,
download_sweep,,25,100,1024,20480,true,10405,3808,14249,33565066,4225481,1934809,21225,35566944,4246706,
download_sweep,,25,100,1024,20480,true,10481,3940,14447,33565126,4225673,1934809,21225,35567004,4246898,
download_sweep,,25,100,1024,20480,true,10488,3844,14369,33565126,4225697,1934809,21225,35567004,4246922,
download_sweep,,25,100,1024,30720,true,15241,4907,20179,33565330,4289589,2506839,21213,36169970,4310802,
download_sweep,,25,100,1024,30720,true,14972,5151,20155,33565342,4289565,2506839,21213,36169982,4310778,
download_sweep,,25,100,1024,30720,true,14900,4750,19682,33565378,4289649,2506839,21201,36170018,4310850,
download_sweep,,25,100,1024,30720,true,15028,4978,20037,33565402,4289781,2506839,21213,36170042,4310994,
download_sweep,,25,100,1024,30720,true,14914,4860,19806,33565402,4289781,2506839,21213,36170042,4310994,
download_sweep,,25,100,1024,30720,true,14790,4887,19709,33565390,4289781,2506839,21213,36170030,4310994,
download_sweep,,25,100,1024,30720,true,14942,4839,19816,33565390,4289769,2506839,21213,36170030,4310982,
download_sweep,,25,100,1024,30720,true,14962,4826,19820,33565342,4289577,2506839,21213,36169982,4310790,
download_sweep,,25,100,1024,30720,true,14999,4843,19873,33565390,4289781,2506839,21213,36170030,4310994,
download_sweep,,25,100,1024,30720,true,14937,4947,19915,33565390,4289745,2506839,21213,36170030,4310958,
download_sweep,,25,100,1024,40960,true,14916,5913,20867,33565330,4289577,3079870,21321,36773793,4310898,
download_sweep,,25,100,1024,40960,true,15091,5860,20989,33565354,4289613,3079870,21321,36773817,4310934,
download_sweep,,25,100,1024,40960,true,14902,5638,20582,33565366,4289661,3079846,21297,36773817,4310958,
download_sweep,,25,100,1024,40960,true,15050,6145,21233,33565342,4289589,3079870,21321,36773805,4310910,
download_sweep,,25,100,1024,40960,true,14971,5886,20895,33565330,4289589,3079870,21321,36773793,4310910,
download_sweep,,25,100,1024,40960,true,15003,5780,20826,33565402,4289709,3079870,21321,36773865,4311030,
download_sweep,,25,100,1024,40960,true,14893,5872,20804,33565330,4289565,3079870,21321,36773793,4310886,
download_sweep,,25,100,1024,40960,true,14980,5610,20628,33565318,4289565,3079846,21309,36773757,4310874,
download_sweep,,25,100,1024,40960,true,14971,6123,21133,33565378,4289649,3079870,21321,36773841,4310970,
download_sweep,,25,100,1024,40960,true,15130,5890,21058,33565342,4289577,3079870,21321,36773805,4310898,
,,1,1000,1024,4096,true,3563,1792,5364,33561844,3424729,1018338,21113,34597999,3445842,
,,1,1000,1024,4096,true,3429,1523,4957,33561844,3424729,1018338,21113,34597999,3445842,
,,1,1000,1024,4096,true,3437,1711,5156,33561844,3424729,1018350,21113,34598011,3445842,
download_sweep,,25,100,1024,51200,true,25158,6863,32071,33565590,4353637,3652925,21333,37377912,4374982,
download_sweep,,25,100,1024,51200,true,24001,7272,31319,33565602,4353637,3652925,21333,37377924,4374982,
download_sweep,,25,100,1024,51200,true,24092,6675,30828,33565626,4353685,3652925,21333,37377948,4375030,
